date,index_return_sh,index_return_sz,index_return_cyb,index_return_bse,limit_up_1st,limit_up_2nd,limit_up_3rd,limit_up_4th,limit_up_5th,limit_up_6th,limit_down,limit_up_20cm_1st,limit_up_20cm,limit_up_30cm_1st,limit_up_30cm
2024-07-31,2.0647,3.3714,3.5066,2.4718,56,7,2,3,0,1,1,4,1,1,0
2024-08-01,-0.2165,-0.9197,-1.3132,-0.2527,29,7,3,2,3,1,2,3,0,0,0
2024-08-02,-0.9224,-1.3838,-1.6608,-1.7501,24,4,3,1,2,2,6,5,0,0,0
2024-08-05,-1.5365,-1.853,-1.8932,-3.0324,23,5,3,2,1,1,23,4,1,0,0
2024-08-06,0.2302,0.8196,1.2485,1.5067,30,8,2,2,0,1,17,4,0,0,0
2024-08-07,0.0889,-0.1687,-0.4316,-0.1442,27,5,2,1,1,0,10,4,1,0,0
2024-08-08,0.0024,-0.0399,-0.5445,-0.4463,22,2,2,1,1,0,12,6,1,1,0
2024-08-09,-0.2686,-0.6217,-0.9846,0.1384,18,3,0,1,0,0,11,4,1,0,0
2024-08-12,-0.1394,-0.241,-0.2035,-0.5381,16,3,1,0,0,0,14,4,0,0,0
2024-08-13,0.3408,0.427,0.9289,0.524,21,1,1,1,0,0,5,6,0,0,0
2024-08-14,-0.6029,-1.1681,-1.4222,-1.0306,13,8,0,1,0,0,2,5,2,0,0
2024-08-15,0.9368,0.7114,0.5291,-0.387,21,4,3,0,0,0,1,7,2,0,0
2024-08-16,0.072,-0.242,-0.0784,-0.558,15,4,1,1,0,0,7,8,3,0,0
2024-08-19,0.4947,0.0842,-0.1366,-1.0651,18,2,3,0,0,0,6,5,1,0,0
2024-08-20,-0.9335,-1.2448,-1.3414,0.2399,13,1,0,1,0,0,8,6,0,1,0
2024-08-21,-0.3515,-0.2801,-0.6031,-0.2157,19,6,0,0,1,0,3,3,0,0,0
2024-08-22,-0.2735,-0.8211,-0.7623,-2.3522,17,1,1,0,0,1,10,3,0,0,0
2024-08-23,0.1964,0.2419,0.0176,-0.7022,29,2,0,0,0,1,8,3,0,1,0
2024-08-26,0.0404,0.1556,-0.103,0.4923,26,5,1,0,0,1,10,5,1,0,0
2024-08-27,-0.2378,-1.1091,-0.9425,-1.8877,15,5,1,0,0,1,7,5,1,0,0
2024-08-28,-0.3967,-0.3078,0.0461,0.2276,24,1,2,1,0,1,4,4,0,0,0
2024-08-29,-0.5048,0.936,0.6497,0.4368,32,5,0,1,1,0,2,3,0,0,0
2024-08-30,0.6769,2.3795,2.5341,1.6863,34,7,3,0,1,0,0,9,0,0,0
2024-09-02,-1.097,-2.1114,-2.753,-2.7477,19,2,0,1,0,1,5,3,0,0,0
2024-09-03,-0.2866,1.1728,1.2603,0.762,26,4,2,0,0,1,3,3,1,0,0
2024-09-04,-0.6672,-0.5057,-0.108,-1.328,17,8,2,1,0,1,1,2,1,0,0
2024-09-05,0.1449,0.2847,0.6486,-0.283,27,3,3,1,1,1,0,5,1,0,0
2024-09-06,-0.8072,-1.4411,-1.7032,-1.8675,11,6,0,2,1,2,2,2,0,0,0
2024-09-09,-1.0601,-0.8302,0.0628,-1.2913,30,4,2,0,2,0,8,5,0,0,0
2024-09-10,0.2815,0.131,0.0612,-0.3022,24,4,2,1,0,0,14,2,2,0,0
2024-09-11,-0.8162,0.3908,1.1914,0.0253,15,4,1,1,0,0,11,2,0,0,0
2024-09-12,-0.1717,-0.631,-0.418,-1.0293,23,1,0,1,1,0,4,3,1,0,0
2024-09-13,-0.4797,-0.8777,-1.0726,0.5924,25,3,1,0,1,1,5,3,1,0,0
2024-09-18,0.4878,0.109,-0.1105,-0.9144,14,4,0,0,0,0,8,2,0,0,0
2024-09-19,0.6897,1.1931,0.8478,1.2377,37,3,3,0,0,0,1,7,0,0,0
2024-09-20,0.0289,-0.1541,-0.6385,-0.3033,28,6,1,2,0,0,1,2,1,0,0
2024-09-23,0.4423,0.102,-0.3965,-1.1644,31,4,3,1,1,0,3,3,0,0,0
2024-09-24,4.1546,4.3586,5.5417,3.2288,59,5,1,2,0,1,3,8,0,1,0
2024-09-25,1.1589,1.2095,1.6232,1.2053,21,13,2,0,1,0,2,4,2,0,0
2024-09-26,3.6131,4.4381,4.4228,2.9667,103,3,7,2,0,1,1,9,2,1,0
2024-09-27,2.885,6.709,9.996,11.1357,54,38,3,5,2,0,0,15,3,1,1
2024-09-30,8.0637,10.6664,15.3593,22.8436,509,39,34,3,5,2,0,116,15,9,1
2024-10-08,4.594,9.1678,17.2494,24.7061,106,181,28,9,2,6,0,201,112,28,9
2024-10-09,-6.617,-8.1538,-10.5941,-12.1135,8,4,10,2,0,4,785,2,7,0,0
2024-10-10,1.3216,-0.8215,-2.9467,-0.3119,42,3,0,0,0,1,28,11,1,0,0
2024-10-11,-2.5497,-3.9188,-5.0629,-8.4268,20,5,0,0,0,0,29,4,0,1,0
2024-10-14,2.0693,2.6505,2.5957,6.6088,65,4,0,0,0,0,1,19,1,1,0
2024-10-15,-2.5281,-2.5261,-3.2206,-1.5589,19,10,3,0,0,0,1,8,5,0,0
2024-10-16,0.0517,-1.0082,-2.2069,1.3315,47,6,6,2,0,0,3,5,2,5,0
2024-10-17,-1.0479,-0.7352,-0.3169,4.471,23,4,2,2,2,0,5,6,1,0,2
2024-10-18,2.9084,4.7101,7.9477,10.298,61,5,2,2,2,2,0,22,3,11,1
2024-10-21,0.2007,1.0933,0.694,16.2443,60,15,2,2,2,2,1,17,8,18,10
2024-10-22,0.5433,0.8461,0.3011,-7.6023,48,13,11,1,1,4,0,5,1,2,1
2024-10-23,0.5154,0.1601,-0.5272,4.2416,46,8,7,4,0,3,1,7,3,3,0
2024-10-24,-0.6825,-1.2733,-1.3698,4.0646,51,7,2,3,2,2,3,7,2,4,2
2024-10-25,0.5926,1.7057,2.9333,0.0816,88,19,4,1,3,4,0,18,2,4,2
2024-10-28,0.6818,0.6219,-0.4368,0.9051,102,44,14,3,1,6,1,17,1,9,3
2024-10-29,-1.0773,-1.3341,-2.3243,3.6796,48,15,14,6,0,5,3,10,1,6,4
2024-10-30,-0.6137,-0.1184,-1.1845,-2.2123,71,13,8,12,5,4,4,6,2,1,1
2024-10-31,0.416,0.5733,0.6018,-1.6818,88,24,8,6,6,7,2,8,5,4,1
2024-11-01,-0.2381,-1.2814,-1.8815,-9.6088,42,20,2,2,1,7,122,13,1,5,0
2024-11-04,1.1673,1.9855,2.931,6.2765,98,11,9,0,1,3,34,6,2,7,1
2024-11-05,2.3195,3.2246,4.751,8.12,98,24,3,8,0,4,0,15,2,5,4
2024-11-06,-0.0939,-0.3525,-1.0485,3.5861,60,19,12,2,7,4,3,9,3,10,2
2024-11-07,2.5668,2.4414,3.7482,3.3881,116,19,10,4,1,8,6,7,1,5,1
2024-11-08,-0.5291,-0.6605,-1.241,-1.2462,51,18,7,4,3,3,3,14,0,3,0
2024-11-11,0.5147,2.0325,3.0521,0.7873,79,20,7,3,1,0,14,28,5,2,0
2024-11-12,-1.386,-0.6507,-0.0685,-1.9808,45,15,2,1,1,1,14,8,2,1,0
2024-11-13,0.5058,0.3962,1.1063,0.8124,34,6,2,1,1,1,7,8,0,3,0
